Concept	Tag	Languages	Families
FAECES (EXCREMENT)		364	26
URINE		438	11
OLD PERSON		158	3
CHILD (DESCENDANT)		326	56
ANCESTORS		273	58
LAKE		689	88
GRANDFATHER		577	83
GRANDMOTHER		521	78
FAMILY		299	66
MARKET		361	46
BRIDGE		508	62
STABLE		255	39
TROUSERS		408	70
HAT		139	20
EARRING		367	64
BRACELET		314	52
SHOE		490	81
MAT		465	62
FIELD		392	64
BREAKFAST		250	45
LUNCH		198	46
DINNER (SUPPER)		231	38
GROUND		275	21
SOUP		399	70
ALCOHOL (FERMENTED DRINK)		271	60
TEA		195	32
SUGAR		405	63
HOE		502	42
MILL		261	42
BUCKET		132	18
BOTTLE		193	32
STOVE		288	49
FIREWOOD		633	85
DUNG (ANIMAL FAECES)		166	2
TABLE		373	63
BED		595	85
LADDER		427	71
LOCK		316	53
KEY		300	47
MIRROR		363	68
COMB		570	78
SHEARS		314	52
PEN		279	48
BOOK		409	67
STORY		147	17
SPEECH		340	60
SOUND OR NOISE		362	70
THING		586	71
DEITY		193	43
GHOST		403	57
SOUL		412	64
STRENGTH		200	20
IN FRONT OF		478	117
MONEY		502	75
PAY		450	72
LOOK		703	81
LISTEN		536	73
SMELL (STINK)		261	63
BEHIND		526	126
CHEW		422	78
SPIT		675	131
VOMIT		835	131
BLOW (OF WIND)		649	138
READ		448	72
SHOUT		501	77
HOLD		736	85
STRIKE OR BEAT		354	76
PICK UP		440	64
KNEEL		429	65
RIDE		319	56
CARRY ON BACK		188	5
FALL		876	144
CLIMB		482	80
WAKE UP		453	79
INSIDE		620	76
DO		445	88
WORK (LABOUR)		652	81
PLOUGH		276	41
PLANT (SOMETHING)		444	63
CUT (WITH AXE)		217	4
FEED		122	19
LEAD (GUIDE)		387	68
OUTSIDE		599	118
CALL BY NAME		322	67
TEACH		535	75
WRITE		423	78
FRY		192	20
CUT (WITH KNIFE)		169	3
GRIND		479	64
WEAR		196	4
HANG UP		369	80
DRY IN SUN		165	5
SHAVE		159	4
COMB (VERB)		123	18
SWEEP		636	81
OPEN		738	85
HIDE		422	78
PILE UP		363	61
LIGHT (IGNITE)		392	77
GET		584	73
MISPLACE		357	74
LOOK FOR		714	80
ASK (INQUIRE)		577	79
ANSWER		499	65
QUARREL		267	59
HELP		485	70
MEET		492	74
FLEE		365	73
PURSUE		315	57
ANGRY	emotion	165	57
FEAR (BE AFRAID)		500	50
LIKE	emotion	137	17
BELIEVE		376	74
KNOW (SOMETHING)		648	93
GUESS		238	49
REMEMBER		570	72
THINK		515	89
WANT	emotion	618	126
BE		244	21
COME BACK		649	77
ARRIVE		591	79
GO UP (ASCEND)		668	69
GO DOWN (DESCEND)		493	71
GO OUT		446	69
DAY (24 HOURS)		177	24
BREAK (CLEAVE)		282	21
BREAK (DESTROY OR GET DESTROYED)		499	79
MARRY (AS MAN)		163	2
GIVE BIRTH		296	8
SICK		681	81
SHIVER		504	73
SWELL		443	34
BARKING		146	21
TALL		319	66
LOW		449	105
THICK		788	138
DAY BEFORE YESTERDAY		477	59
STRAIGHT		646	120
HARD		685	128
BRIGHT		446	70
DARK		580	127
BLUE	color	546	127
CLEAN		566	116
OLD (USED)		202	63
DAY AFTER TOMORROW		507	63
RAW		505	125
COOKED		393	61
SHARP		874	137
BLUNT		584	122
EARLY		364	53
BE LATE		276	49
EXPENSIVE		456	64
CHEAP		444	62
EASY		371	51
DIFFICULT		379	56
WARM		391	74
SALTY		417	118
FRAGRANT		350	59
STINKING		460	63
TIRED		495	67
PAINFUL		98	4
DILIGENT		143	17
LAZY		551	78
POOR		425	71
RICH		426	68
NOW		647	134
HORSE		619	83
WE (INCLUSIVE)		432	101
HE OR SHE OR IT		423	125
HERE		590	98
THERE		546	95
SHEEP		550	68
FIRST		422	82
AFTERWARDS		158	17
VERY		170	19
AGAIN		452	83
WOLF		341	51
MUROID (MOUSE OR RAT)		374	68
DOVE		590	73
EAGLE		443	72
CROW		561	59
SWALLOW		702	79
BAT		562	78
BUTTERFLY		644	78
FLEA		440	72
LOUSE		896	137
EARTHWORM		177	7
WING		901	141
FEATHER		641	142
THUNDER (VERB)		101	19
PINE		294	37
WILLOW		122	23
BARLEY		218	26
TARO		193	5
COTTON		478	66
HOW		646	137
SPIRIT		183	21
ANIMAL		549	117
ARM	human body part	798	85
ARMPIT		621	75
ASK (REQUEST)		472	75
BARK		718	140
LAME		372	62
BECOME		231	32
BURNING		450	72
GROW		550	135
BEER		297	44
BLADDER		156	2
BLIND PERSON		198	4
BOIL		261	4
BOUNDARY		304	46
BRAIN		724	129
BRING		462	75
RAISE (BRING UP)		156	18
BUILD		498	72
BULL		494	56
MILLET		245	20
LOAD		267	18
BURY		716	72
BUSH		221	15
BUTTOCKS	human body part	668	110
CALF OF LEG		458	61
CALL		441	82
CEASE		396	69
CHAIR		387	71
CHARCOAL		590	70
CHEST	human body part	794	85
CHILD		452	28
CHOOSE		525	66
CLAN		303	55
COOKING POT		395	66
CORPSE		397	61
COUGH		756	131
COUNT		626	84
COUNTRY		421	66
CULTIVATE		347	49
SHIT (DEFECATE)		445	121
DIG		890	93
DIVIDE		562	73
DONKEY		408	47
DRUM		583	68
DWELL (LIVE, RESIDE)		447	73
EXTINGUISH		417	64
EYEBROW	human body part	505	65
FIGHT		621	72
FIREPLACE		351	57
FOAM		450	78
FOLLOW		458	63
FOREST		659	79
FOWL		277	43
GATHER		500	72
LEAVE		474	77
HAIR		494	81
HEEL	human body part	497	74
HIP	human body part	372	67
HONEY		670	79
HUNGER		443	71
HUNT		705	88
INCREASE		216	16
ITCH (CAUSE ITCHING OR FEEL ITCHY)		100	19
JAW	human body part	431	77
LEARN		582	73
LEG	human body part	901	95
LICK		560	75
LIGHT (RADIATION)		632	79
LIP	human body part	679	132
MARRY		275	63
MOUNTAIN OR HILL		301	71
NAPE (OF NECK)		578	83
PENIS		741	126
PIPE		340	54
HOLE		627	76
PLACE (POSITION)		511	73
PLANT (VEGETATION)		223	48
POUR		603	73
PUT		630	66
PALM TREE		195	46
MOW		252	49
RECOVER		152	16
REFUSE		353	46
RIB		571	74
RIPEN		148	18
ROAST (SOMETHING)		335	7
ROOSTER		576	65
RUN		844	135
SALIVA		440	20
SAY		780	143
SEIZE		526	72
SELF		194	3
SEND		488	75
SHADE		795	131
SHAME	emotion	381	63
SHARPEN (SOMETHING)		351	21
SHIELD		327	34
SHOULDER	human body part	873	91
SMALLPOX		110	3
SMELL		146	62
SNORE		453	110
SPARK		151	17
SPLIT		553	75
SPREAD OUT		412	67
SPRING (OF WATER)		191	30
DRAW MILK		387	56
STICK		496	44
STRANGER		243	63
STRETCH		405	59
STRING		191	18
STUTTER		289	52
SUCK		701	132
SWEAR		311	33
SWEET POTATO		597	57
UNDRESS		294	20
TASTE (SOMETHING)		475	65
TEAR (OF EYE)		594	79
TERMITE		320	34
TESTICLES		503	112
UPPER LEG (THIGH)		715	132
THIRST		378	57
TORTOISE		176	20
TRY		381	70
TWINS		347	56
UNRIPE		345	59
PISS		580	123
VEIN		321	19
