Family	Languages	Nodes	Edges	Degree	Emotion	Emotion_Eff	Emotion_Sig	Body	Body_Eff	Body_Sig	Color	Color_Eff	Color_Sig
Chocoan	6	1068	379	0.71	0.59	-0.12	0.60	1.09	0.38	0.02	1.33	0.61	0.07
Cariban	9	1287	646	1.00	1.00	0.01	0.42	0.86	-0.15	0.69	1.33	0.36	0.21
Austronesian	10	1312	2360	3.60	3.09	-0.52	0.75	3.89	0.30	0.27	1.71	-1.87	0.95
Pano-Tacanan	10	1255	1242	1.98	1.84	-0.12	0.55	1.89	-0.09	0.57	2.33	0.34	0.30
Turkic	11	1375	857	1.25	1.05	-0.22	0.72	1.56	0.31	0.11	1.57	0.29	0.26
Tungusic	12	1185	357	0.60	1.18	0.59	0.03	0.81	0.20	0.11	0.14	-0.46	0.86
Arawakan	14	1273	727	1.14	0.58	-0.56	0.97	0.94	-0.19	0.78	2.67	1.56	0.01
Tucanoan	18	1157	512	0.89	0.75	-0.15	0.62	1.14	0.25	0.10	2.33	1.46	0.01
Austroasiatic	22	1276	1721	2.70	3.26	0.57	0.17	2.61	-0.08	0.54	2.00	-0.72	0.71
Hmong-Mien	24	1347	1193	1.77	1.42	-0.37	0.72	1.31	-0.45	0.87	4.17	2.37	0.02
Uralic	26	1377	1452	2.11	2.24	0.11	0.36	2.00	-0.11	0.58	2.71	0.63	0.19
Tai-Kadai	28	1350	2447	3.63	3.65	0.04	0.45	4.22	0.62	0.12	4.86	1.26	0.14
Nakh-Daghestanian	33	1223	2545	4.16	2.00	-2.15	1.00	4.97	0.84	0.09	1.83	-2.36	0.95
Tupian	42	1278	1565	2.45	2.89	0.44	0.21	2.75	0.30	0.24	6.33	3.87	0.00
Pama-Nyungan	55	995	472	0.95	0.62	-0.33	0.82	1.94	1.00	0.00	1.00	0.05	0.35
Afro-Asiatic	61	1407	1531	2.18	1.29	-0.90	0.96	3.61	1.45	0.00	3.71	1.52	0.05
Indo-European	70	1406	4107	5.84	5.38	-0.46	0.63	7.47	1.66	0.02	5.71	-0.09	0.47
Atlantic-Congo	118	1370	10102	14.75	9.06	-5.26	0.72	4.22	-10.63	0.98	3.17	-11.41	0.54
Sino-Tibetan	152	1459	6583	9.02	10.14	1.07	0.29	9.97	0.96	0.27	17.57	8.76	0.03
