Concept	Frequency	Family	Tag	Random_Walk_Community	Random_Walk_Links	Language_Count	Language_Count_Weighted	Cognate_Count	Cognate_Count_Weighted
CHEST	17	Tucanoan	human body part	1	BREAST:1.78	BREAST:1.00	BREAST:0.00	BREAST:1.00	BREAST:0.00
KNEE	17	Tucanoan	human body part	3	ELBOW:2.25;WRIST:1.00	ELBOW:1.00	ELBOW:0.00	ELBOW:1.00	ELBOW:0.00
SHOULDER	17	Tucanoan	human body part	4	ARM:0.58;HAND:0.18				
FOREHEAD	17	Tupian	human body part	8	FOOT:0.01;EYE:0.27;FACE:0.77;TOOTH:0.01	FACE:1.00	FACE:0.00	FACE:1.00	FACE:0.00
ENVY	18	Austroasiatic	emotion	1	HATE:3.00	HATE:1.00	HATE:0.00	HATE:1.00	HATE:0.00
REGRET	18	Austroasiatic	emotion	4	GRIEF:3.00	GRIEF:3.00	GRIEF:0.03	GRIEF:3.00	GRIEF:0.03
WANT	18	Austroasiatic	emotion	2	ANGER:0.01;PAIN:0.30;BAD:0.02;DOUBT:0.03	PAIN:1.00	PAIN:0.00	PAIN:1.00	PAIN:0.00
ENVY	18	Sino-Tibetan	emotion	1	HATE:0.39;ANGRY:0.02	HATE:1.00	HATE:0.00	HATE:1.00	HATE:0.00
REGRET	18	Tai-Kadai	emotion	4	GRIEF:0.64	GRIEF:1.00	GRIEF:0.00	GRIEF:1.00	GRIEF:0.00
SURPRISED	18	Tai-Kadai	emotion	8					
HIP	18	Tai-Kadai	human body part	2	BUTTOCKS:1.55	BUTTOCKS:7.00	BUTTOCKS:0.15	BUTTOCKS:6.00	BUTTOCKS:0.11
BLACK	18	Tucanoan	color	1	RED:0.13;WHITE:0.18;YELLOW:0.13				
RED	18	Tucanoan	color	1	BLACK:0.13;WHITE:0.60;YELLOW:0.60	YELLOW:1.00	YELLOW:0.00	YELLOW:1.00	YELLOW:0.00
WHITE	18	Tucanoan	color	1	RED:0.60;BLACK:0.18;YELLOW:0.92	YELLOW:2.00	YELLOW:0.01	YELLOW:1.00	YELLOW:0.00
YELLOW	18	Tucanoan	color	1	RED:0.60;BLACK:0.13;WHITE:0.92	WHITE:2.00;RED:1.00	WHITE:0.01;RED:0.00	RED:1.00	RED:0.00
BAD	18	Tucanoan	emotion	4	GOOD:1.45	GOOD:1.00	GOOD:0.00	GOOD:1.00	GOOD:0.00
BACK	18	Tucanoan	human body part	5					
FOOT	18	Tucanoan	human body part	2	BUTTOCKS:0.22;HIP:0.08;LEG:1.31	LEG:2.00	LEG:0.01	LEG:2.00	LEG:0.01
HAND	18	Tucanoan	human body part	4	ARM:1.10;SHOULDER:0.18	ARM:3.00	ARM:0.03	ARM:2.00	ARM:0.01
HEAD	18	Tucanoan	human body part	9					
LEG	18	Tucanoan	human body part	2	BUTTOCKS:0.90;FOOT:1.31;HIP:0.38	FOOT:2.00;BUTTOCKS:1.00	FOOT:0.01;BUTTOCKS:0.25	BUTTOCKS:1.00	BUTTOCKS:0.25
MOUTH	18	Tucanoan	human body part	10					
NECK	18	Tucanoan	human body part	11					
NOSE	18	Tucanoan	human body part	12					
TOOTH	18	Tucanoan	human body part	13					
ANXIETY	19	Austroasiatic	emotion	3					
CHEEK	19	Austroasiatic	human body part	7	CHIN:0.49;EYE:0.31;FACE:0.64;FOREHEAD:0.14;JAW:1.10	JAW:2.00;FACE:1.00	JAW:0.01;FACE:0.00	FACE:1.00	FACE:0.00
ELBOW	19	Austroasiatic	human body part	5	ANKLE:1.25;ARM:0.56;FINGER:0.08;HAND:0.23;WRIST:0.08	ARM:1.00;ANKLE:1.00	ARM:0.00;ANKLE:0.00	ANKLE:1.00	ANKLE:0.00
HIP	19	Austroasiatic	human body part	2	BUTTOCKS:2.65;TOOTH:0.02	BUTTOCKS:7.00	BUTTOCKS:0.14	BUTTOCKS:7.00	BUTTOCKS:0.14
JAW	19	Austroasiatic	human body part	7	CHEEK:1.10;CHIN:1.35;EYE:0.29;FACE:0.58;FOREHEAD:0.16	CHEEK:2.00;FACE:1.00;CHIN:2.00	CHEEK:0.01;FACE:0.00;CHIN:0.01	CHIN:2.00	CHIN:0.01
LEG	19	Austroasiatic	human body part	4	FOOT:1.12	FOOT:1.00	FOOT:0.00	FOOT:1.00	FOOT:0.00
NIPPLE	19	Austroasiatic	human body part	1	BREAST:1.06;CHEST:0.17	BREAST:1.00	BREAST:0.00	BREAST:1.00	BREAST:0.00
ANGER	19	Tai-Kadai	emotion	1	ENVY:0.80;HATE:1.03	HATE:2.00;ENVY:1.00	HATE:0.01;ENVY:0.00	ENVY:1.00	ENVY:0.00
ANXIETY	19	Tai-Kadai	emotion	3	GOOD:0.01				
DOUBT	19	Tai-Kadai	emotion	2	FEAR (FRIGHT):1.37	FEAR (FRIGHT):1.00	FEAR (FRIGHT):0.00	FEAR (FRIGHT):1.00	FEAR (FRIGHT):0.00
LIKE	2	Afro-Asiatic	emotion	6	LOVE:1.84;WANT:0.89	LOVE:2.00	LOVE:1.00	LOVE:1.00	LOVE:0.25
DOUBT	2	Cariban	emotion	7					
FEAR (FRIGHT)	2	Chocoan	emotion	1					
LOVE	2	Chocoan	emotion	3	WANT:3.00	WANT:1.00	WANT:0.25	WANT:1.00	WANT:0.25
PAIN	2	Chocoan	emotion	2					
SURPRISED	2	Chocoan	emotion	4					
WANT	2	Chocoan	emotion	3	LOVE:3.00	LOVE:1.00	LOVE:0.25	LOVE:1.00	LOVE:0.25
FACE	2	Chocoan	human body part	6	EYE:0.60				
ANGER	2	Hmong-Mien	emotion	1	GRIEF:3.00	GRIEF:1.00	GRIEF:0.25	GRIEF:1.00	GRIEF:0.25
GRIEF	2	Hmong-Mien	emotion	1	ANGER:3.00	ANGER:1.00	ANGER:0.25	ANGER:1.00	ANGER:0.25
HAPPY	2	Hmong-Mien	emotion	5	GOOD:1.21	GOOD:1.00	GOOD:0.25	GOOD:1.00	GOOD:0.25
LOVE	2	Hmong-Mien	emotion	3	SHAME:1.78	SHAME:1.00	SHAME:0.25	SHAME:1.00	SHAME:0.25
PAIN	2	Hmong-Mien	emotion	4	BAD:0.06;WANT:0.08				
PITY	2	Hmong-Mien	emotion	2	REGRET:3.00	REGRET:1.00	REGRET:0.25	REGRET:1.00	REGRET:0.25
REGRET	2	Hmong-Mien	emotion	2	PITY:3.00	PITY:1.00	PITY:0.25	PITY:1.00	PITY:0.25
SHAME	2	Hmong-Mien	emotion	3	LOVE:1.78	LOVE:1.00	LOVE:0.25	LOVE:1.00	LOVE:0.25
ARM	2	Hmong-Mien	human body part	5	HAND:1.09	HAND:1.00	HAND:0.25	HAND:1.00	HAND:0.25
BACK	2	Hmong-Mien	human body part	4	FOOT:0.02				
BREAST	2	Hmong-Mien	human body part	1					
EYELASH	2	Hmong-Mien	human body part	3	EYEBROW:3.00	EYEBROW:1.00	EYEBROW:0.25	EYEBROW:1.00	EYEBROW:0.25
HIP	2	Hmong-Mien	human body part	2	BUTTOCKS:3.00	BUTTOCKS:1.00	BUTTOCKS:0.25	BUTTOCKS:1.00	BUTTOCKS:0.25
JAW	2	Hmong-Mien	human body part	7	CHIN:1.18	CHIN:1.00	CHIN:0.25	CHIN:1.00	CHIN:0.25
DOUBT	2	Sino-Tibetan	emotion	6					
FEAR (FRIGHT)	2	Tucanoan	emotion	1	SURPRISED:1.11	SURPRISED:1.00	SURPRISED:0.25	SURPRISED:1.00	SURPRISED:0.25
HATE	2	Tucanoan	emotion	3					
SURPRISED	2	Tucanoan	emotion	1	FEAR (FRIGHT):1.11	FEAR (FRIGHT):1.00	FEAR (FRIGHT):0.25	FEAR (FRIGHT):1.00	FEAR (FRIGHT):0.25
WANT	2	Tucanoan	emotion	5					
BUTTOCKS	2	Tucanoan	human body part	2	FOOT:0.22;HIP:1.06;LEG:0.90	LEG:1.00;HIP:1.00	LEG:0.25;HIP:0.25	HIP:1.00	HIP:0.25
FACE	2	Tucanoan	human body part	8	FOREHEAD:0.52				
HIP	2	Tucanoan	human body part	2	BUTTOCKS:1.06;FOOT:0.08;LEG:0.38	BUTTOCKS:1.00	BUTTOCKS:0.25	BUTTOCKS:1.00	BUTTOCKS:0.25
JAW	2	Tucanoan	human body part	7	CHIN:3.00	CHIN:1.00	CHIN:0.25	CHIN:1.00	CHIN:0.25
FEAR (FRIGHT)	2	Uto-Aztecan	emotion	1	SURPRISED:3.00	SURPRISED:1.00	SURPRISED:0.25	SURPRISED:1.00	SURPRISED:0.25
LOVE	2	Uto-Aztecan	emotion	3	WANT:3.00	WANT:1.00	WANT:0.25	WANT:1.00	WANT:0.25
PITY	2	Uto-Aztecan	emotion	2	REGRET:3.00	REGRET:1.00	REGRET:1.00	REGRET:1.00	REGRET:1.00
PROUD	2	Uto-Aztecan	emotion	4					
SURPRISED	2	Uto-Aztecan	emotion	1	FEAR (FRIGHT):3.00	FEAR (FRIGHT):1.00	FEAR (FRIGHT):0.25	FEAR (FRIGHT):1.00	FEAR (FRIGHT):0.25
WANT	2	Uto-Aztecan	emotion	3	LOVE:3.00	LOVE:1.00	LOVE:0.25	LOVE:1.00	LOVE:0.25
ARM	2	Uto-Aztecan	human body part	4	HAND:2.50;SHOULDER:2.00	SHOULDER:1.00;HAND:2.00	SHOULDER:0.25;HAND:1.00	HAND:2.00	HAND:1.00
HEEL	2	Uto-Aztecan	human body part	3					
GREEN	20	Austroasiatic	color	1	BLACK:0.01;BLUE:0.56	BLUE:1.00	BLUE:0.00	BLUE:1.00	BLUE:0.00
ANGER	20	Austroasiatic	emotion	2	GOOD:0.01;WANT:0.01				
GOOD	20	Austroasiatic	emotion	5	ANGER:0.01;HAPPY:0.40;LOVE:0.35;PROUD:0.24;BAD:0.02	LOVE:1.00;HAPPY:1.00	LOVE:0.00;HAPPY:0.00	HAPPY:1.00	HAPPY:0.00
GRIEF	20	Austroasiatic	emotion	4	REGRET:3.00	REGRET:3.00	REGRET:0.03	REGRET:3.00	REGRET:0.03
SHAME	20	Austroasiatic	emotion	2	PAIN:0.03				
ARM	20	Austroasiatic	human body part	5	ANKLE:0.34;ELBOW:0.56;FINGER:0.39;HAND:0.91;TOOTH:0.05;WRIST:0.39	ELBOW:1.00;HAND:3.00	ELBOW:0.00;HAND:0.02	HAND:2.00	HAND:0.01
JAW	20	Sino-Tibetan	human body part	7	ARM:0.06;CHEEK:0.61;CHIN:0.30;ELBOW:0.01;FACE:0.16;HAND:0.09;LIP:0.10;MOUTH:0.05	CHIN:1.00;CHEEK:2.00	CHIN:0.00;CHEEK:0.01	CHEEK:2.00	CHEEK:0.01
GRIEF	20	Tai-Kadai	emotion	4	REGRET:0.64	REGRET:1.00	REGRET:0.00	REGRET:1.00	REGRET:0.00
PROUD	20	Tai-Kadai	emotion	7	HAPPY:0.85;LOVE:0.15;LIKE:0.08	HAPPY:2.00	HAPPY:0.01	HAPPY:2.00	HAPPY:0.01
ANKLE	20	Tai-Kadai	human body part	5	KNEE:0.69	KNEE:1.00	KNEE:0.00	KNEE:1.00	KNEE:0.00
EYELASH	20	Tai-Kadai	human body part	3	EYEBROW:2.36	EYEBROW:4.00	EYEBROW:0.04	EYEBROW:1.00	EYEBROW:0.00
JAW	20	Tai-Kadai	human body part	7	BACK:0.01;CHEEK:0.43;CHIN:0.41;EYE:0.01;FACE:0.22;HAND:0.01;LIP:0.23;MOUTH:0.02;TONGUE:0.01	CHEEK:2.00;FACE:1.00;CHIN:1.00	CHEEK:0.01;FACE:0.00;CHIN:0.00	CHIN:1.00	CHIN:0.00
WRIST	20	Tai-Kadai	human body part	6	ARM:1.05;ELBOW:1.61	ARM:1.00;ELBOW:1.00	ARM:0.00;ELBOW:0.00	ELBOW:1.00	ELBOW:0.00
BLACK	21	Austroasiatic	color	1	GREEN:0.01				
BLUE	21	Austroasiatic	color	1	GREEN:0.56	GREEN:1.00	GREEN:0.00	GREEN:1.00	GREEN:0.00
WHITE	21	Austroasiatic	color	2					
YELLOW	21	Austroasiatic	color	3					
BAD	21	Austroasiatic	emotion	6	PAIN:0.05;HAPPY:0.03;SURPRISED:0.08;GOOD:0.02;WANT:0.02;DOUBT:0.01				
HAPPY	21	Austroasiatic	emotion	5	LOVE:0.06;PROUD:0.03;GOOD:0.40;BAD:0.03	GOOD:1.00	GOOD:0.00	GOOD:1.00	GOOD:0.00
HATE	21	Austroasiatic	emotion	1	ENVY:3.00	ENVY:1.00	ENVY:0.00	ENVY:1.00	ENVY:0.00
LOVE	21	Austroasiatic	emotion	5	HAPPY:0.06;PROUD:0.60;GOOD:0.35	GOOD:1.00;PROUD:1.00	GOOD:0.00;PROUD:0.00	PROUD:1.00	PROUD:0.00
PAIN	21	Austroasiatic	emotion	2	SHAME:0.03;BAD:0.05;WANT:0.30	WANT:1.00	WANT:0.00	WANT:1.00	WANT:0.00
ANKLE	21	Austroasiatic	human body part	5	ARM:0.34;ELBOW:1.25;FINGER:0.02;HAND:0.18;WRIST:0.02	ELBOW:1.00	ELBOW:0.00	ELBOW:1.00	ELBOW:0.00
BACK	21	Austroasiatic	human body part	6					
BREAST	21	Austroasiatic	human body part	1	CHEST:0.75;NIPPLE:1.06	NIPPLE:1.00;CHEST:1.00	NIPPLE:0.00;CHEST:0.00	CHEST:1.00	CHEST:0.00
BUTTOCKS	21	Austroasiatic	human body part	2	HIP:2.65;TOOTH:0.02	HIP:7.00	HIP:0.14	HIP:7.00	HIP:0.14
CHEST	21	Austroasiatic	human body part	1	BREAST:0.75;NIPPLE:0.17	BREAST:1.00	BREAST:0.00	BREAST:1.00	BREAST:0.00
CHIN	21	Austroasiatic	human body part	7	CHEEK:0.49;EYE:0.16;FACE:0.33;FOREHEAD:0.05;JAW:1.35	JAW:2.00	JAW:0.01	JAW:2.00	JAW:0.01
EAR	21	Austroasiatic	human body part	8					
EYE	21	Austroasiatic	human body part	7	CHEEK:0.31;CHIN:0.16;FACE:1.67;FOREHEAD:0.54;JAW:0.29	FACE:7.00	FACE:0.11	FACE:3.00	FACE:0.02
EYEBROW	21	Austroasiatic	human body part	3	EYELASH:2.54	EYELASH:6.00	EYELASH:0.08	EYELASH:1.00	EYELASH:0.00
EYELASH	21	Austroasiatic	human body part	3	EYEBROW:2.54	EYEBROW:6.00	EYEBROW:0.08	EYEBROW:1.00	EYEBROW:0.00
FACE	21	Austroasiatic	human body part	7	CHEEK:0.64;CHIN:0.33;EYE:1.67;FOREHEAD:1.15;JAW:0.58	EYE:7.00;JAW:1.00;CHEEK:1.00;FOREHEAD:1.00	EYE:0.11;JAW:0.00;CHEEK:0.00;FOREHEAD:0.00	FOREHEAD:1.00	FOREHEAD:0.00
FINGER	21	Austroasiatic	human body part	5	ANKLE:0.02;ARM:0.39;ELBOW:0.08;HAND:1.08;TOOTH:0.01;WRIST:0.20	HAND:1.00	HAND:0.00	HAND:1.00	HAND:0.00
FOOT	21	Austroasiatic	human body part	4	LEG:1.12	LEG:1.00	LEG:0.00	LEG:1.00	LEG:0.00
FOREHEAD	21	Austroasiatic	human body part	7	CHEEK:0.14;CHIN:0.05;EYE:0.54;FACE:1.15;JAW:0.16	FACE:1.00	FACE:0.00	FACE:1.00	FACE:0.00
HAND	21	Austroasiatic	human body part	5	ANKLE:0.18;ARM:0.91;ELBOW:0.23;FINGER:1.08;TOOTH:0.05;WRIST:1.08	WRIST:1.00;ARM:3.00;FINGER:1.00	WRIST:0.00;ARM:0.02;FINGER:0.00	FINGER:1.00	FINGER:0.00
HEAD	21	Austroasiatic	human body part	9					
LIP	21	Austroasiatic	human body part	10	MOUTH:1.83	MOUTH:2.00	MOUTH:0.01	MOUTH:2.00	MOUTH:0.01
MOUTH	21	Austroasiatic	human body part	10	LIP:1.83	LIP:2.00	LIP:0.01	LIP:2.00	LIP:0.01
NAVEL	21	Austroasiatic	human body part	11					
NECK	21	Austroasiatic	human body part	12					
NOSE	21	Austroasiatic	human body part	13					
SHOULDER	21	Austroasiatic	human body part	14					
TOE	21	Austroasiatic	human body part	15					
TONGUE	21	Austroasiatic	human body part	16					
TOOTH	21	Austroasiatic	human body part	5	BUTTOCKS:0.02;ARM:0.05;FINGER:0.01;HAND:0.05;HIP:0.02;WRIST:0.01				
WRIST	21	Austroasiatic	human body part	5	ANKLE:0.02;ARM:0.39;ELBOW:0.08;FINGER:0.20;HAND:1.08;TOOTH:0.01	HAND:1.00	HAND:0.00	HAND:1.00	HAND:0.00
WANT	21	Hmong-Mien	emotion	4	PAIN:0.08;BAD:0.02				
FEAR (FRIGHT)	21	Tai-Kadai	emotion	2	DOUBT:1.37	DOUBT:1.00	DOUBT:0.00	DOUBT:1.00	DOUBT:0.00
HAPPY	21	Tai-Kadai	emotion	7	LOVE:0.39;PROUD:0.85;GOOD:0.01;LIKE:0.23	PROUD:2.00;LOVE:1.00	PROUD:0.01;LOVE:0.00	LOVE:1.00	LOVE:0.00
HATE	21	Tai-Kadai	emotion	1	ENVY:0.77;ANGER:1.03;WANT:0.01	ANGER:2.00;ENVY:1.00	ANGER:0.01;ENVY:0.00	ENVY:1.00	ENVY:0.00
PAIN	21	Tai-Kadai	emotion	6	BAD:0.08;WANT:0.07				
SHAME	21	Tai-Kadai	emotion	5					
EYEBROW	21	Tai-Kadai	human body part	3	EYELASH:2.36	EYELASH:4.00	EYELASH:0.04	EYELASH:1.00	EYELASH:0.00
LIP	21	Tai-Kadai	human body part	7	CHEEK:0.75;CHIN:0.04;FACE:0.25;HAND:0.02;JAW:0.23;MOUTH:0.01;TONGUE:0.01	CHEEK:1.00	CHEEK:0.00	CHEEK:1.00	CHEEK:0.00
BELLY	22	Atlantic-Congo	human body part	5	TONGUE:0.01				
CHEEK	22	Tai-Kadai	human body part	7	BACK:0.01;CHIN:0.10;EYE:0.01;FACE:0.36;HAND:0.04;JAW:0.43;LIP:0.75;MOUTH:0.02;TONGUE:0.01	FACE:2.00;JAW:2.00;LIP:1.00	FACE:0.01;JAW:0.01;LIP:0.00	LIP:1.00	LIP:0.00
BELLY	23	Hmong-Mien	human body part	6					
CHIN	23	Hmong-Mien	human body part	7	JAW:1.18;MOUTH:0.01	JAW:1.00	JAW:0.25	JAW:1.00	JAW:0.25
EAR	23	Hmong-Mien	human body part	8					
GREY	23	Indo-European	color	1	BLUE:0.43;GREEN:0.60	BLUE:1.00;GREEN:1.00	BLUE:0.00;GREEN:0.00	GREEN:1.00	GREEN:0.00
LIKE	23	Indo-European	emotion	2	HAPPY:0.12;LOVE:0.85;WANT:0.58	WANT:2.00;LOVE:4.00	WANT:0.01;LOVE:0.03	LOVE:3.00	LOVE:0.02
WANT	23	Tai-Kadai	emotion	6	PAIN:0.07;HATE:0.01				
BLACK	24	Hmong-Mien	color	2					
BLUE	24	Hmong-Mien	color	3	GREEN:1.97	GREEN:13.00	GREEN:0.29	GREEN:5.00	GREEN:0.04
GREEN	24	Hmong-Mien	color	3	BLUE:1.97	BLUE:13.00	BLUE:0.29	BLUE:5.00	BLUE:0.04
RED	24	Hmong-Mien	color	1					
WHITE	24	Hmong-Mien	color	4					
YELLOW	24	Hmong-Mien	color	5					
BAD	24	Hmong-Mien	emotion	4	PAIN:0.06;WANT:0.02				
GOOD	24	Hmong-Mien	emotion	5	HAPPY:1.21	HAPPY:1.00	HAPPY:0.25	HAPPY:1.00	HAPPY:0.25
BUTTOCKS	24	Hmong-Mien	human body part	2	HIP:3.00	HIP:1.00	HIP:0.25	HIP:1.00	HIP:0.25
EYE	24	Hmong-Mien	human body part	9	FACE:0.46	FACE:1.00	FACE:0.00	FACE:1.00	FACE:0.00
EYEBROW	24	Hmong-Mien	human body part	3	EYELASH:3.00	EYELASH:1.00	EYELASH:0.25	EYELASH:1.00	EYELASH:0.25
FACE	24	Hmong-Mien	human body part	9	EYE:0.46	EYE:1.00	EYE:0.00	EYE:1.00	EYE:0.00
FOOT	24	Hmong-Mien	human body part	4	BACK:0.02;HEAD:0.02				
HAND	24	Hmong-Mien	human body part	5	ARM:1.09	ARM:1.00	ARM:0.25	ARM:1.00	ARM:0.25
HEAD	24	Hmong-Mien	human body part	4	FOOT:0.02				
LEG	24	Hmong-Mien	human body part	10					
MOUTH	24	Hmong-Mien	human body part	7	CHIN:0.01				
NECK	24	Hmong-Mien	human body part	11					
NOSE	24	Hmong-Mien	human body part	12	TONGUE:0.40				
TONGUE	24	Hmong-Mien	human body part	12	NOSE:0.40				
TOOTH	24	Hmong-Mien	human body part	13					
SAD	24	Indo-European	emotion	5					
ARM	24	Tai-Kadai	human body part	6	ELBOW:0.61;NOSE:0.01;WRIST:1.05	WRIST:1.00	WRIST:0.00	WRIST:1.00	WRIST:0.00
ELBOW	24	Tai-Kadai	human body part	6	ARM:0.61;WRIST:1.61	WRIST:1.00	WRIST:0.00	WRIST:1.00	WRIST:0.00
BLUE	25	Tai-Kadai	color	2	RED:0.07;GREEN:0.58	GREEN:4.00	GREEN:0.03	GREEN:2.00	GREEN:0.01
BACK	25	Tai-Kadai	human body part	7	CHEEK:0.01;CHIN:0.01;FACE:0.03;HAND:0.02;JAW:0.01				
BUTTOCKS	25	Tai-Kadai	human body part	2	HIP:1.55	HIP:7.00	HIP:0.15	HIP:6.00	HIP:0.11
CHIN	25	Tai-Kadai	human body part	7	BACK:0.01;CHEEK:0.10;FACE:0.06;HAND:0.01;JAW:0.41;LIP:0.04	JAW:1.00	JAW:0.00	JAW:1.00	JAW:0.00
HEEL	25	Tai-Kadai	human body part	4					
HEEL	25	Uralic	human body part	3					
JAW	25	Uralic	human body part	8	CHIN:2.11	CHIN:2.00	CHIN:0.01	CHIN:2.00	CHIN:0.01
NAVEL	25	Uralic	human body part	13					
SHAME	26	Sino-Tibetan	emotion	2	PAIN:0.01;GOOD:0.01;WANT:0.01				
BLACK	26	Uralic	color	3					
BLUE	26	Uralic	color	1	GREY:0.08;YELLOW:0.18;GREEN:0.86	GREEN:1.00	GREEN:0.00	GREEN:1.00	GREEN:0.00
GREEN	26	Uralic	color	1	GREY:0.40;BLUE:0.86;YELLOW:0.75	YELLOW:2.00;BLUE:1.00	YELLOW:0.01;BLUE:0.00	BLUE:1.00	BLUE:0.00
RED	26	Uralic	color	2					
WHITE	26	Uralic	color	4					
YELLOW	26	Uralic	color	1	GREY:0.97;BLUE:0.18;GREEN:0.75	GREEN:2.00;GREY:1.00	GREEN:0.01;GREY:0.01	GREY:1.00	GREY:0.01
BAD	26	Uralic	emotion	1	ANGER:0.47;FEAR (FRIGHT):0.24;HATE:0.20	ANGER:1.00	ANGER:0.01	ANGER:1.00	ANGER:0.01
GOOD	26	Uralic	emotion	6					
GRIEF	26	Uralic	emotion	2	PAIN:0.44	PAIN:1.00	PAIN:0.00	PAIN:1.00	PAIN:0.00
LOVE	26	Uralic	emotion	4	LIKE:1.44;WANT:0.70	WANT:1.00;LIKE:3.00	WANT:0.00;LIKE:0.05	LIKE:2.00	LIKE:0.02
PAIN	26	Uralic	emotion	2	GRIEF:0.44	GRIEF:1.00	GRIEF:0.00	GRIEF:1.00	GRIEF:0.00
WANT	26	Uralic	emotion	4	LOVE:0.70;LIKE:0.69	LOVE:1.00;LIKE:1.00	LOVE:0.00;LIKE:0.01	LIKE:1.00	LIKE:0.01
ARM	26	Uralic	human body part	5	HAND:2.02	HAND:19.00	HAND:0.53	HAND:2.00	HAND:0.01
BACK	26	Uralic	human body part	4	KNEE:1.47;NECK:0.13;SHOULDER:0.24	KNEE:1.00	KNEE:0.00	KNEE:1.00	KNEE:0.00
BREAST	26	Uralic	human body part	1	CHEST:2.00;NIPPLE:1.65	CHEST:9.00;NIPPLE:5.00	CHEST:0.12;NIPPLE:0.17	NIPPLE:4.00	NIPPLE:0.11
CHEEK	26	Uralic	human body part	7	FACE:1.53	FACE:1.00	FACE:0.00	FACE:1.00	FACE:0.00
CHEST	26	Uralic	human body part	1	BREAST:2.00;NIPPLE:1.03	BREAST:9.00;NIPPLE:1.00	BREAST:0.12;NIPPLE:0.01	NIPPLE:1.00	NIPPLE:0.01
CHIN	26	Uralic	human body part	8	JAW:2.11	JAW:2.00	JAW:0.01	JAW:2.00	JAW:0.01
EAR	26	Uralic	human body part	9					
EYE	26	Uralic	human body part	6	BELLY:0.01				
FACE	26	Uralic	human body part	7	CHEEK:1.53	CHEEK:1.00	CHEEK:0.00	CHEEK:1.00	CHEEK:0.00
FINGER	26	Uralic	human body part	10	TOE:3.00	TOE:5.00	TOE:0.04	TOE:5.00	TOE:0.04
FOOT	26	Uralic	human body part	2	BUTTOCKS:0.10;HIP:0.20;LEG:2.54	LEG:19.00	LEG:0.53	LEG:6.00	LEG:0.05
HAND	26	Uralic	human body part	5	ARM:2.02	ARM:19.00	ARM:0.53	ARM:2.00	ARM:0.01
HEAD	26	Uralic	human body part	11	TOOTH:0.58	TOOTH:1.00	TOOTH:0.00	TOOTH:1.00	TOOTH:0.00
KNEE	26	Uralic	human body part	4	BACK:1.47;NECK:0.11;SHOULDER:0.16	BACK:1.00	BACK:0.00	BACK:1.00	BACK:0.00
LEG	26	Uralic	human body part	2	BUTTOCKS:0.16;FOOT:2.54;HIP:0.24	FOOT:19.00	FOOT:0.53	FOOT:6.00	FOOT:0.05
MOUTH	26	Uralic	human body part	12					
NECK	26	Uralic	human body part	4	KNEE:0.11;BACK:0.13;SHOULDER:0.18				
NOSE	26	Uralic	human body part	14					
SHOULDER	26	Uralic	human body part	4	KNEE:0.16;BACK:0.24;NECK:0.18				
TOE	26	Uralic	human body part	10	FINGER:3.00	FINGER:5.00	FINGER:0.04	FINGER:5.00	FINGER:0.04
TONGUE	26	Uralic	human body part	15					
TOOTH	26	Uralic	human body part	11	HEAD:0.58	HEAD:1.00	HEAD:0.00	HEAD:1.00	HEAD:0.00
SURPRISED	27	Indo-European	emotion	6					
WRIST	27	Nakh-Daghestanian	human body part	5	BUTTOCKS:0.01;ANKLE:0.01;EYE:0.02;MOUTH:0.05;NOSE:0.01				
BREAST	27	Tai-Kadai	human body part	1	FOOT:0.01				
EYELASH	28	Indo-European	human body part	3	EYEBROW:1.78	EYEBROW:1.00	EYEBROW:0.00	EYEBROW:1.00	EYEBROW:0.00
BLACK	28	Tai-Kadai	color	3	WHITE:0.01				
GREEN	28	Tai-Kadai	color	2	RED:0.21;BLUE:0.58	BLUE:4.00	BLUE:0.03	BLUE:2.00	BLUE:0.01
RED	28	Tai-Kadai	color	2	BLUE:0.07;GREEN:0.21				
WHITE	28	Tai-Kadai	color	3	BLACK:0.01				
YELLOW	28	Tai-Kadai	color	4					
BAD	28	Tai-Kadai	emotion	6	PAIN:0.08				
GOOD	28	Tai-Kadai	emotion	3	ANXIETY:0.01;HAPPY:0.01				
LOVE	28	Tai-Kadai	emotion	7	HAPPY:0.39;PROUD:0.15;LIKE:0.91	LIKE:1.00;HAPPY:1.00	LIKE:0.11;HAPPY:0.00	HAPPY:1.00	HAPPY:0.00
CHEST	28	Tai-Kadai	human body part	8	NOSE:0.01				
EAR	28	Tai-Kadai	human body part	9	SHOULDER:0.01				
EYE	28	Tai-Kadai	human body part	7	CHEEK:0.01;FACE:0.06;JAW:0.01;MOUTH:0.01				
FACE	28	Tai-Kadai	human body part	7	KNEE:0.01;BACK:0.03;CHEEK:0.36;CHIN:0.06;EYE:0.06;HAND:0.03;JAW:0.22;LIP:0.25;MOUTH:0.14;NAVEL:0.01;TONGUE:0.05	CHEEK:2.00;JAW:1.00;MOUTH:1.00	CHEEK:0.01;JAW:0.00;MOUTH:0.00	MOUTH:1.00	MOUTH:0.00
FOOT	28	Tai-Kadai	human body part	1	BREAST:0.01;KNEE:0.01;LEG:0.46;NAVEL:0.01	LEG:2.00	LEG:0.01	LEG:2.00	LEG:0.01
HAND	28	Tai-Kadai	human body part	7	KNEE:0.01;BACK:0.02;CHEEK:0.04;CHIN:0.01;FACE:0.03;JAW:0.01;LIP:0.02				
