ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
northeuralex-fin-EYE-1,northeuralex-fin-1_eye-1,northeuralex-fin,EYE,silmä,silmæ,s i l m æ,,,,,,
northeuralex-fin-EAR-1,northeuralex-fin-2_ear-1,northeuralex-fin,EAR,korva,kɔrʋɑ,k ɔ r ʋ ɑ,,,,,,
northeuralex-fin-NOSE-1,northeuralex-fin-3_nose-1,northeuralex-fin,NOSE,nenä,nɛnæ,n ɛ n æ,,,,,,
northeuralex-fin-MOUTH-1,northeuralex-fin-4_mouth-1,northeuralex-fin,MOUTH,suu,suː,s uː,,,,,,
northeuralex-fin-TOOTH-1,northeuralex-fin-5_tooth-1,northeuralex-fin,TOOTH,hammas,hɑmːɑs,h ɑ mː ɑ s,,,,,,
northeuralex-fin-TONGUE-1,northeuralex-fin-6_tongue-1,northeuralex-fin,TONGUE,kieli,kiɛ̯li,k iɛ l i,,,,,,
northeuralex-fin-LIP-1,northeuralex-fin-7_lip-1,northeuralex-fin,LIP,huuli,huːli,h uː l i,,,,,,
northeuralex-fin-CHEEK-1,northeuralex-fin-8_cheek-1,northeuralex-fin,CHEEK,poski,pɔski,p ɔ s k i,,,,,,
northeuralex-fin-FACE-1,northeuralex-fin-9_face-1,northeuralex-fin,FACE,naama,nɑːmɑ,n ɑː m ɑ,,,,,,
northeuralex-fin-FACE-2,northeuralex-fin-9_face-2,northeuralex-fin,FACE,kasvot,kɑsʋɔt,k ɑ s ʋ ɔ t,,,,,,
northeuralex-fin-FOREHEAD-1,northeuralex-fin-10_forehead-1,northeuralex-fin,FOREHEAD,otsa,ɔt͡sɑ,ɔ ts ɑ,,,,,,
northeuralex-fin-HAIR-1,northeuralex-fin-11_hair-1,northeuralex-fin,HAIR,hius,hiu̯s,h iu s,,,,,,
northeuralex-fin-HAIR-2,northeuralex-fin-11_hair-2,northeuralex-fin,HAIR,tukka,tʊkːɑ,t ʊ kː ɑ,,,,,,
northeuralex-fin-MOUSTACHE-1,northeuralex-fin-12_moustache-1,northeuralex-fin,MOUSTACHE,viikset,ʋiːksɛt,ʋ iː k s ɛ t,,,,,,
northeuralex-fin-BEARD-1,northeuralex-fin-13_beard-1,northeuralex-fin,BEARD,parta,pɑrtɑ,p ɑ r t ɑ,,,,,,
northeuralex-fin-CHIN-1,northeuralex-fin-14_chin-1,northeuralex-fin,CHIN,leuka,lɛʊkɑ,l ɛ ʊ k ɑ,,,,,,
northeuralex-fin-JAW-1,northeuralex-fin-15_jaw-1,northeuralex-fin,JAW,leukaluu,lɛʊkɑluː,l ɛ ʊ k ɑ l uː,,,,,,
northeuralex-fin-THROAT-1,northeuralex-fin-16_throat-1,northeuralex-fin,THROAT,kurkku,kʊrkːʊ,k ʊ r kː ʊ,,,,,,
northeuralex-fin-NECK-1,northeuralex-fin-17_neck-1,northeuralex-fin,NECK,kaula,kɑwlɑ,k ɑ w l ɑ,,,,,,
northeuralex-fin-NAPEOFNECK-1,northeuralex-fin-18_nape-1,northeuralex-fin,NAPEOFNECK,niska,niskɑ,n i s k ɑ,,,,,,
northeuralex-fin-HEAD-1,northeuralex-fin-19_head-1,northeuralex-fin,HEAD,pää,pæː,p æː,,,,,,
northeuralex-fin-BACK-1,northeuralex-fin-20_back-1,northeuralex-fin,BACK,selkä,sɛlkæ,s ɛ l k æ,,,,,,
northeuralex-fin-BELLY-1,northeuralex-fin-21_belly-1,northeuralex-fin,BELLY,maha,mɑhɑ,m ɑ h ɑ,,,,,,
northeuralex-fin-BELLY-2,northeuralex-fin-21_belly-2,northeuralex-fin,BELLY,vatsa,ʋɑt͡sɑ,ʋ ɑ ts ɑ,,,,,,
northeuralex-fin-NAVEL-1,northeuralex-fin-22_navel-1,northeuralex-fin,NAVEL,napa,nɑpɑ,n ɑ p ɑ,,,,,,
northeuralex-fin-BREAST-1,northeuralex-fin-23_bosom-1,northeuralex-fin,BREAST,rinta,rintɑ,r i n t ɑ,,,,,,
northeuralex-fin-CHEST-1,northeuralex-fin-24_breast-1,northeuralex-fin,CHEST,rinta,rintɑ,r i n t ɑ,,,,,,
northeuralex-fin-SHOULDER-1,northeuralex-fin-25_shoulder-1,northeuralex-fin,SHOULDER,olka,ɔlkɑ,ɔ l k ɑ,,,,,,
northeuralex-fin-SHOULDER-2,northeuralex-fin-25_shoulder-2,northeuralex-fin,SHOULDER,hartia,hɑrtiɑ,h ɑ r t i ɑ,,,,,,
northeuralex-fin-SHOULDER-3,northeuralex-fin-25_shoulder-3,northeuralex-fin,SHOULDER,olkapää,ɔlkɑpæː,ɔ l k ɑ p æː,,,,,,
northeuralex-fin-ARM-1,northeuralex-fin-26_arm-1,northeuralex-fin,ARM,käsivarsi,kæsiʋɑrsi,k æ s i ʋ ɑ r s i,,,,,,
northeuralex-fin-ELBOW-1,northeuralex-fin-27_elbow-1,northeuralex-fin,ELBOW,kyynärpää,kyːnærpæː,k yː n æ r p æː,,,,,,
northeuralex-fin-HAND-1,northeuralex-fin-28_hand-1,northeuralex-fin,HAND,käsi,kæsi,k æ s i,,,,,,
northeuralex-fin-PALMOFHAND-1,northeuralex-fin-29_palm-1,northeuralex-fin,PALMOFHAND,kämmen,kæmːɛn,k æ mː ɛ n,,,,,,
northeuralex-fin-FINGER-1,northeuralex-fin-30_finger-1,northeuralex-fin,FINGER,sormi,sɔrmi,s ɔ r m i,,,,,,
northeuralex-fin-FINGERNAIL-1,northeuralex-fin-31_fingernail-1,northeuralex-fin,FINGERNAIL,kynsi,kʏnsi,k ʏ n s i,,,,,,
northeuralex-fin-TOE-1,northeuralex-fin-33_toe-1,northeuralex-fin,TOE,varvas,ʋɑrʋɑs,ʋ ɑ r ʋ ɑ s,,,,,,
northeuralex-fin-FOOT-1,northeuralex-fin-34_foot-1,northeuralex-fin,FOOT,jalka,jɑlkɑ,j ɑ l k ɑ,,,,,,
northeuralex-fin-HEEL-1,northeuralex-fin-35_heel-1,northeuralex-fin,HEEL,kantapää,kɑntɑpæː,k ɑ n t ɑ p æː,,,,,,
northeuralex-fin-KNEE-1,northeuralex-fin-36_knee-1,northeuralex-fin,KNEE,polvi,pɔlʋi,p ɔ l ʋ i,,,,,,
northeuralex-fin-UPPERLEGTHIGH-1,northeuralex-fin-37_thigh-1,northeuralex-fin,UPPERLEGTHIGH,reisi,rɛi̯si,r ɛi s i,,,,,,
northeuralex-fin-LEG-1,northeuralex-fin-38_leg-1,northeuralex-fin,LEG,jalka,jɑlkɑ,j ɑ l k ɑ,,,,,,
northeuralex-fin-BODY-1,northeuralex-fin-39_body-1,northeuralex-fin,BODY,keho,kɛhɔ,k ɛ h ɔ,,,,,,
northeuralex-fin-BODY-2,northeuralex-fin-39_body-2,northeuralex-fin,BODY,ruumis,ruːmis,r uː m i s,,,,,,
northeuralex-fin-SKIN-1,northeuralex-fin-40_skin-1,northeuralex-fin,SKIN,iho,ihɔ,i h ɔ,,,,,,
northeuralex-fin-VEIN-1,northeuralex-fin-42_vein-1,northeuralex-fin,VEIN,suoni,suɔ̯ni,s uɔ n i,,,,,,
northeuralex-fin-TENDON-1,northeuralex-fin-43_sinew-1,northeuralex-fin,TENDON,jänne,jænːɛ,j æ nː ɛ,,,,,,
northeuralex-fin-BONE-1,northeuralex-fin-44_bone-1,northeuralex-fin,BONE,luu,luː,l uː,,,,,,
northeuralex-fin-BRAIN-1,northeuralex-fin-45_brain-1,northeuralex-fin,BRAIN,aivot,ɑi̯ʋɔt,ɑi ʋ ɔ t,,,,,,
northeuralex-fin-HEART-1,northeuralex-fin-46_heart-1,northeuralex-fin,HEART,sydän,sʏdæn,s ʏ d æ n,,,,,,
northeuralex-fin-STOMACH-1,northeuralex-fin-47_stomach-1,northeuralex-fin,STOMACH,maha,mɑhɑ,m ɑ h ɑ,,,,,,
northeuralex-fin-STOMACH-2,northeuralex-fin-47_stomach-2,northeuralex-fin,STOMACH,vatsa,ʋɑt͡sɑ,ʋ ɑ ts ɑ,,,,,,
northeuralex-fin-LIVER-1,northeuralex-fin-48_liver-1,northeuralex-fin,LIVER,maksa,mɑksɑ,m ɑ k s ɑ,,,,,,
northeuralex-fin-JOY-1,northeuralex-fin-212_joy-1,northeuralex-fin,JOY,ilo,ilɔ,i l ɔ,,,,,,
northeuralex-fin-JOY-2,northeuralex-fin-212_joy-2,northeuralex-fin,JOY,riemu,riɛ̯mʊ,r iɛ m ʊ,,,,,,
northeuralex-fin-HAPPINESS-1,northeuralex-fin-214_happiness-1,northeuralex-fin,HAPPINESS,onni,ɔnːi,ɔ nː i,,,,,,
northeuralex-fin-GRIEF-1,northeuralex-fin-215_grief-1,northeuralex-fin,GRIEF,suru,sʊrʊ,s ʊ r ʊ,,,,,,
northeuralex-fin-GRIEF-2,northeuralex-fin-215_grief-2,northeuralex-fin,GRIEF,murhe,mʊrhɛ,m ʊ r h ɛ,,,,,,
northeuralex-fin-LONGINGWISH-1,northeuralex-fin-217_desire-1,northeuralex-fin,LONGINGWISH,himo,himɔ,h i m ɔ,,,,,,
northeuralex-fin-PAIN-1,northeuralex-fin-395_pain-1,northeuralex-fin,PAIN,kipu,kipʊ,k i p ʊ,,,,,,
northeuralex-fin-PAIN-2,northeuralex-fin-395_pain-2,northeuralex-fin,PAIN,särky,særkʏ,s æ r k ʏ,,,,,,
northeuralex-fin-BLACK-1,northeuralex-fin-524_black-1,northeuralex-fin,BLACK,musta,mʊstɑ,m ʊ s t ɑ,,,,,,
northeuralex-fin-WHITE-1,northeuralex-fin-525_white-1,northeuralex-fin,WHITE,valkea,ʋɑlkɛɑ,ʋ ɑ l k ɛ ɑ,,,,,,
northeuralex-fin-RED-1,northeuralex-fin-526_red-1,northeuralex-fin,RED,punainen,pʊnɑi̯nɛn,p ʊ n ɑi n ɛ n,,,,,,
northeuralex-fin-YELLOW-1,northeuralex-fin-527_yellow-1,northeuralex-fin,YELLOW,keltainen,kɛltɑi̯nɛn,k ɛ l t ɑi n ɛ n,,,,,,
northeuralex-fin-BLUE-1,northeuralex-fin-528_blue-1,northeuralex-fin,BLUE,sininen,sininɛn,s i n i n ɛ n,,,,,,
northeuralex-fin-GREEN-1,northeuralex-fin-529_green-1,northeuralex-fin,GREEN,vihreä,ʋixrɛæ,ʋ i x r ɛ æ,,,,,,
northeuralex-fin-GREY-1,northeuralex-fin-530_grey-1,northeuralex-fin,GREY,harmaa,hɑrmɑː,h ɑ r m ɑː,,,,,,
northeuralex-krl-EYE-1,northeuralex-krl-1_eye-1,northeuralex-krl,EYE,silmä,silmæ,s i l m æ,,,,,,
northeuralex-krl-EAR-1,northeuralex-krl-2_ear-1,northeuralex-krl,EAR,korva,kɔrvɑ,k ɔ r v ɑ,,,,,,
northeuralex-krl-NOSE-1,northeuralex-krl-3_nose-1,northeuralex-krl,NOSE,nenä,nɛnæ,n ɛ n æ,,,,,,
northeuralex-krl-MOUTH-1,northeuralex-krl-4_mouth-1,northeuralex-krl,MOUTH,suu,suː,s uː,,,,,,
northeuralex-krl-TOOTH-1,northeuralex-krl-5_tooth-1,northeuralex-krl,TOOTH,hammas,hɑmːɑs,h ɑ mː ɑ s,,,,,,
northeuralex-krl-TONGUE-1,northeuralex-krl-6_tongue-1,northeuralex-krl,TONGUE,kieli,kiɛli,k i ɛ l i,,,,,,
northeuralex-krl-LIP-1,northeuralex-krl-7_lip-1,northeuralex-krl,LIP,huuli,huːli,h uː l i,,,,,,
northeuralex-krl-CHEEK-1,northeuralex-krl-8_cheek-1,northeuralex-krl,CHEEK,nuala,nʊɑlɑ,n ʊ ɑ l ɑ,,,,,,
northeuralex-krl-FACE-1,northeuralex-krl-9_face-1,northeuralex-krl,FACE,näkö,nækœ,n æ k œ,,,,,,
northeuralex-krl-FACE-2,northeuralex-krl-9_face-2,northeuralex-krl,FACE,muoto,mʊɔtɔ,m ʊ ɔ t ɔ,,,,,,
northeuralex-krl-FOREHEAD-1,northeuralex-krl-10_forehead-1,northeuralex-krl,FOREHEAD,očča,ɔt͡ʃːɑ,ɔ tʃː ɑ,,,,,,
northeuralex-krl-HAIR-1,northeuralex-krl-11_hair-1,northeuralex-krl,HAIR,hivus,hivʊs,h i v ʊ s,,,,,,
northeuralex-krl-MOUSTACHE-1,northeuralex-krl-12_moustache-1,northeuralex-krl,MOUSTACHE,hapenet,hɑpɛnɛt,h ɑ p ɛ n ɛ t,,,,,,
northeuralex-krl-MOUSTACHE-2,northeuralex-krl-12_moustache-2,northeuralex-krl,MOUSTACHE,viikset,viːksɛt,v iː k s ɛ t,,,,,,
northeuralex-krl-BEARD-1,northeuralex-krl-13_beard-1,northeuralex-krl,BEARD,parta,pɑrtɑ,p ɑ r t ɑ,,,,,,
northeuralex-krl-CHIN-1,northeuralex-krl-14_chin-1,northeuralex-krl,CHIN,leuka,lɛʊkɑ,l ɛ ʊ k ɑ,,,,,,
northeuralex-krl-JAW-1,northeuralex-krl-15_jaw-1,northeuralex-krl,JAW,leukaluu,lɛʊkɑluː,l ɛ ʊ k ɑ l uː,,,,,,
northeuralex-krl-THROAT-1,northeuralex-krl-16_throat-1,northeuralex-krl,THROAT,kero,kɛrɔ,k ɛ r ɔ,,,,,,
northeuralex-krl-THROAT-2,northeuralex-krl-16_throat-2,northeuralex-krl,THROAT,kulkku,kʊlkːʊ,k ʊ l kː ʊ,,,,,,
northeuralex-krl-NECK-1,northeuralex-krl-17_neck-1,northeuralex-krl,NECK,kakla,kɑklɑ,k ɑ k l ɑ,,,,,,
northeuralex-krl-NAPEOFNECK-1,northeuralex-krl-18_nape-1,northeuralex-krl,NAPEOFNECK,niska,niskɑ,n i s k ɑ,,,,,,
northeuralex-krl-HEAD-1,northeuralex-krl-19_head-1,northeuralex-krl,HEAD,piä,piæ,p i æ,,,,,,
northeuralex-krl-BACK-1,northeuralex-krl-20_back-1,northeuralex-krl,BACK,selkä,sɛlkæ,s ɛ l k æ,,,,,,
northeuralex-krl-BELLY-1,northeuralex-krl-21_belly-1,northeuralex-krl,BELLY,maha,mɑhɑ,m ɑ h ɑ,,,,,,
northeuralex-krl-NAVEL-1,northeuralex-krl-22_navel-1,northeuralex-krl,NAVEL,n´apa,nʲɑpɑ,nʲ ɑ p ɑ,,,,,,
northeuralex-krl-BREAST-1,northeuralex-krl-23_bosom-1,northeuralex-krl,BREAST,rinta,rintɑ,r i n t ɑ,,,,,,
northeuralex-krl-CHEST-1,northeuralex-krl-24_breast-1,northeuralex-krl,CHEST,rinta,rintɑ,r i n t ɑ,,,,,,
northeuralex-krl-SHOULDER-1,northeuralex-krl-25_shoulder-1,northeuralex-krl,SHOULDER,hartie,hɑrtiɛ,h ɑ r t i ɛ,,,,,,
northeuralex-krl-SHOULDER-2,northeuralex-krl-25_shoulder-2,northeuralex-krl,SHOULDER,olka,ɔlkɑ,ɔ l k ɑ,,,,,,
northeuralex-krl-ARM-1,northeuralex-krl-26_arm-1,northeuralex-krl,ARM,käsivarsi,kæsivɑrsi,k æ s i v ɑ r s i,,,,,,
northeuralex-krl-ARM-2,northeuralex-krl-26_arm-2,northeuralex-krl,ARM,käsi,kæsi,k æ s i,,,,,,
northeuralex-krl-ELBOW-1,northeuralex-krl-27_elbow-1,northeuralex-krl,ELBOW,kynkä,kyŋkæ,k y ŋ k æ,,,,,,
northeuralex-krl-ELBOW-2,northeuralex-krl-27_elbow-2,northeuralex-krl,ELBOW,kyynäspiä,kyynæspiæ,k y y n æ s p i æ,,,,,,
northeuralex-krl-HAND-1,northeuralex-krl-28_hand-1,northeuralex-krl,HAND,käsi,kæsi,k æ s i,,,,,,
northeuralex-krl-PALMOFHAND-1,northeuralex-krl-29_palm-1,northeuralex-krl,PALMOFHAND,kämmen,kæmːɛn,k æ mː ɛ n,,,,,,
northeuralex-krl-FINGER-1,northeuralex-krl-30_finger-1,northeuralex-krl,FINGER,sormi,sɔrmi,s ɔ r m i,,,,,,
northeuralex-krl-FINGERNAIL-1,northeuralex-krl-31_fingernail-1,northeuralex-krl,FINGERNAIL,kynsi,kynsi,k y n s i,,,,,,
northeuralex-krl-TOE-1,northeuralex-krl-33_toe-1,northeuralex-krl,TOE,varvas,vɑrvɑs,v ɑ r v ɑ s,,,,,,
northeuralex-krl-FOOT-1,northeuralex-krl-34_foot-1,northeuralex-krl,FOOT,jalka,jɑlkɑ,j ɑ l k ɑ,,,,,,
northeuralex-krl-HEEL-1,northeuralex-krl-35_heel-1,northeuralex-krl,HEEL,kanta,kɑntɑ,k ɑ n t ɑ,,,,,,
northeuralex-krl-KNEE-1,northeuralex-krl-36_knee-1,northeuralex-krl,KNEE,polvi,pɔlvi,p ɔ l v i,,,,,,
northeuralex-krl-UPPERLEGTHIGH-1,northeuralex-krl-37_thigh-1,northeuralex-krl,UPPERLEGTHIGH,reisi,rɛisi,r ɛi s i,,,,,,
northeuralex-krl-LEG-1,northeuralex-krl-38_leg-1,northeuralex-krl,LEG,jalka,jɑlkɑ,j ɑ l k ɑ,,,,,,
northeuralex-krl-BODY-1,northeuralex-krl-39_body-1,northeuralex-krl,BODY,runko,rʊŋkɔ,r ʊ ŋ k ɔ,,,,,,
northeuralex-krl-SKIN-1,northeuralex-krl-40_skin-1,northeuralex-krl,SKIN,nahka,nɑxkɑ,n ɑ x k ɑ,,,,,,
northeuralex-krl-VEIN-1,northeuralex-krl-42_vein-1,northeuralex-krl,VEIN,suoni,sʊɔni,s ʊ ɔ n i,,,,,,
northeuralex-krl-TENDON-1,northeuralex-krl-43_sinew-1,northeuralex-krl,TENDON,jänneh,jænːɛh,j æ nː ɛ h,,,,,,
northeuralex-krl-BONE-1,northeuralex-krl-44_bone-1,northeuralex-krl,BONE,luu,luː,l uː,,,,,,
northeuralex-krl-BRAIN-1,northeuralex-krl-45_brain-1,northeuralex-krl,BRAIN,aivot,ɑivɔt,ɑ i v ɔ t,,,,,,
northeuralex-krl-HEART-1,northeuralex-krl-46_heart-1,northeuralex-krl,HEART,syväin,syvæin,s y v æ i n,,,,,,
northeuralex-krl-STOMACH-1,northeuralex-krl-47_stomach-1,northeuralex-krl,STOMACH,mahalaukku,mɑhɑlɑʊkːʊ,m ɑ h ɑ l ɑʊ kː ʊ,,,,,,
northeuralex-krl-LIVER-1,northeuralex-krl-48_liver-1,northeuralex-krl,LIVER,maksa,mɑksɑ,m ɑ k s ɑ,,,,,,
northeuralex-krl-JOY-1,northeuralex-krl-212_joy-1,northeuralex-krl,JOY,ilo,ilɔ,i l ɔ,,,,,,
northeuralex-krl-HAPPINESS-1,northeuralex-krl-214_happiness-1,northeuralex-krl,HAPPINESS,onni,ɔnːi,ɔ nː i,,,,,,
northeuralex-krl-GRIEF-1,northeuralex-krl-215_grief-1,northeuralex-krl,GRIEF,suru,sʊrʊ,s ʊ r ʊ,,,,,,
northeuralex-krl-LONGINGWISH-1,northeuralex-krl-217_desire-1,northeuralex-krl,LONGINGWISH,himo,himɔ,h i m ɔ,,,,,,
northeuralex-krl-PAIN-1,northeuralex-krl-395_pain-1,northeuralex-krl,PAIN,kipu,kipʊ,k i p ʊ,,,,,,
northeuralex-krl-PAIN-2,northeuralex-krl-395_pain-2,northeuralex-krl,PAIN,tuska,tʊskɑ,t ʊ s k ɑ,,,,,,
northeuralex-krl-BLACK-1,northeuralex-krl-524_black-1,northeuralex-krl,BLACK,musta,mʊstɑ,m ʊ s t ɑ,,,,,,
northeuralex-krl-WHITE-1,northeuralex-krl-525_white-1,northeuralex-krl,WHITE,valkie,vɑlkiɛ,v ɑ l k i ɛ,,,,,,
northeuralex-krl-RED-1,northeuralex-krl-526_red-1,northeuralex-krl,RED,ruskie,rʊskiɛ,r ʊ s k i ɛ,,,,,,
northeuralex-krl-YELLOW-1,northeuralex-krl-527_yellow-1,northeuralex-krl,YELLOW,keltani,kɛltɑni,k ɛ l t ɑ n i,,,,,,
northeuralex-krl-BLUE-1,northeuralex-krl-528_blue-1,northeuralex-krl,BLUE,sinini,sinini,s i n i n i,,,,,,
northeuralex-krl-GREEN-1,northeuralex-krl-529_green-1,northeuralex-krl,GREEN,vihanta,vihɑntɑ,v i h ɑ n t ɑ,,,,,,
northeuralex-krl-GREY-1,northeuralex-krl-530_grey-1,northeuralex-krl,GREY,harmua,hɑrmʊɑ,h ɑ r m ʊ ɑ,,,,,,
northeuralex-olo-EYE-1,northeuralex-olo-1_eye-1,northeuralex-olo,EYE,silmy,silmʏ,s i l m ʏ,,,,,,
northeuralex-olo-EAR-1,northeuralex-olo-2_ear-1,northeuralex-olo,EAR,korvu,kɔrvʊ,k ɔ r v ʊ,,,,,,
northeuralex-olo-NOSE-1,northeuralex-olo-3_nose-1,northeuralex-olo,NOSE,nenä,nɛnæ,n ɛ n æ,,,,,,
northeuralex-olo-MOUTH-1,northeuralex-olo-4_mouth-1,northeuralex-olo,MOUTH,suu,suː,s uː,,,,,,
northeuralex-olo-TOOTH-1,northeuralex-olo-5_tooth-1,northeuralex-olo,TOOTH,hammas,hɑmːɑs,h ɑ mː ɑ s,,,,,,
northeuralex-olo-TONGUE-1,northeuralex-olo-6_tongue-1,northeuralex-olo,TONGUE,kieli,kiɛli,k i ɛ l i,,,,,,
northeuralex-olo-LIP-1,northeuralex-olo-7_lip-1,northeuralex-olo,LIP,huuli,huːli,h uː l i,,,,,,
northeuralex-olo-CHEEK-1,northeuralex-olo-8_cheek-1,northeuralex-olo,CHEEK,šokku,ʃɔkːʊ,ʃ ɔ kː ʊ,,,,,,
northeuralex-olo-FACE-1,northeuralex-olo-9_face-1,northeuralex-olo,FACE,nägö,næɡœ,n æ g œ,,,,,,
northeuralex-olo-FOREHEAD-1,northeuralex-olo-10_forehead-1,northeuralex-olo,FOREHEAD,očču,ɔt͡ʃːʊ,ɔ tʃː ʊ,,,,,,
northeuralex-olo-HAIR-1,northeuralex-olo-11_hair-1,northeuralex-olo,HAIR,hivus,hivʊs,h i v ʊ s,,,,,,
northeuralex-olo-MOUSTACHE-1,northeuralex-olo-12_moustache-1,northeuralex-olo,MOUSTACHE,usat,ʊsɑt,ʊ s ɑ t,,,,,,
northeuralex-olo-BEARD-1,northeuralex-olo-13_beard-1,northeuralex-olo,BEARD,pardu,pɑrdʊ,p ɑ r d ʊ,,,,,,
northeuralex-olo-CHIN-1,northeuralex-olo-14_chin-1,northeuralex-olo,CHIN,leugu,lɛʊɡʊ,l ɛ ʊ g ʊ,,,,,,
northeuralex-olo-JAW-1,northeuralex-olo-15_jaw-1,northeuralex-olo,JAW,leuguluu,lɛʊɡʊluː,l ɛ ʊ g ʊ l uː,,,,,,
northeuralex-olo-THROAT-1,northeuralex-olo-16_throat-1,northeuralex-olo,THROAT,kulku,kʊlkʊ,k ʊ l k ʊ,,,,,,
northeuralex-olo-NECK-1,northeuralex-olo-17_neck-1,northeuralex-olo,NECK,kaglu,kɑɡlʊ,k ɑ g l ʊ,,,,,,
northeuralex-olo-NAPEOFNECK-1,northeuralex-olo-18_nape-1,northeuralex-olo,NAPEOFNECK,nišku,niʃkʊ,n i ʃ k ʊ,,,,,,
northeuralex-olo-NAPEOFNECK-2,northeuralex-olo-18_nape-2,northeuralex-olo,NAPEOFNECK,tagaraivo,tɑɡɑrɑivɔ,t ɑ g ɑ r ɑ i v ɔ,,,,,,
northeuralex-olo-HEAD-1,northeuralex-olo-19_head-1,northeuralex-olo,HEAD,piä,piæ,p i æ,,,,,,
northeuralex-olo-BACK-1,northeuralex-olo-20_back-1,northeuralex-olo,BACK,selgy,sɛlɡʏ,s ɛ l g ʏ,,,,,,
northeuralex-olo-BELLY-1,northeuralex-olo-21_belly-1,northeuralex-olo,BELLY,vačču,vɑt͡ʃːʊ,v ɑ tʃː ʊ,,,,,,
northeuralex-olo-NAVEL-1,northeuralex-olo-22_navel-1,northeuralex-olo,NAVEL,n'aba,nʲɑbɑ,nʲ ɑ b ɑ,,,,,,
northeuralex-olo-BREAST-1,northeuralex-olo-23_bosom-1,northeuralex-olo,BREAST,nänni,nænːi,n æ nː i,,,,,,
northeuralex-olo-CHEST-1,northeuralex-olo-24_breast-1,northeuralex-olo,CHEST,rindu,rindʊ,r i n d ʊ,,,,,,
northeuralex-olo-CHEST-2,northeuralex-olo-24_breast-2,northeuralex-olo,CHEST,rynnäs,rʏnːæs,r ʏ nː æ s,,,,,,
northeuralex-olo-SHOULDER-1,northeuralex-olo-25_shoulder-1,northeuralex-olo,SHOULDER,hardii,hɑrdiː,h ɑ r d iː,,,,,,
northeuralex-olo-SHOULDER-2,northeuralex-olo-25_shoulder-2,northeuralex-olo,SHOULDER,olgupiä,ɔlɡʊpiæ,ɔ l g ʊ p i æ,,,,,,
northeuralex-olo-ARM-1,northeuralex-olo-26_arm-1,northeuralex-olo,ARM,käzi,kæzi,k æ z i,,,,,,
northeuralex-olo-ARM-2,northeuralex-olo-26_arm-2,northeuralex-olo,ARM,käzivarzi,kæzivɑrzi,k æ z i v ɑ r z i,,,,,,
northeuralex-olo-ELBOW-1,northeuralex-olo-27_elbow-1,northeuralex-olo,ELBOW,kynäbrys,kʏnæbrʏs,k ʏ n æ b r ʏ s,,,,,,
northeuralex-olo-ELBOW-2,northeuralex-olo-27_elbow-2,northeuralex-olo,ELBOW,kyynäspiä,kyːnæspiæ,k yː n æ s p i æ,,,,,,
northeuralex-olo-HAND-1,northeuralex-olo-28_hand-1,northeuralex-olo,HAND,käzi,kæzi,k æ z i,,,,,,
northeuralex-olo-PALMOFHAND-1,northeuralex-olo-29_palm-1,northeuralex-olo,PALMOFHAND,kämmen,kæmːɛn,k æ mː ɛ n,,,,,,
northeuralex-olo-FINGER-1,northeuralex-olo-30_finger-1,northeuralex-olo,FINGER,sormi,sɔrmi,s ɔ r m i,,,,,,
northeuralex-olo-FINGERNAIL-1,northeuralex-olo-31_fingernail-1,northeuralex-olo,FINGERNAIL,kynzi,kʏnzi,k ʏ n z i,,,,,,
northeuralex-olo-TOE-1,northeuralex-olo-33_toe-1,northeuralex-olo,TOE,varvas,vɑrvɑs,v ɑ r v ɑ s,,,,,,
northeuralex-olo-FOOT-1,northeuralex-olo-34_foot-1,northeuralex-olo,FOOT,jalgu,jɑlɡʊ,j ɑ l g ʊ,,,,,,
northeuralex-olo-FOOT-2,northeuralex-olo-34_foot-2,northeuralex-olo,FOOT,jallanterä,jɑlːɑntɛræ,j ɑ lː ɑ n t ɛ r æ,,,,,,
northeuralex-olo-HEEL-1,northeuralex-olo-35_heel-1,northeuralex-olo,HEEL,kandupiä,kɑndʊpiæ,k ɑ n d ʊ p i æ,,,,,,
northeuralex-olo-KNEE-1,northeuralex-olo-36_knee-1,northeuralex-olo,KNEE,polvi,pɔlvi,p ɔ l v i,,,,,,
northeuralex-olo-UPPERLEGTHIGH-1,northeuralex-olo-37_thigh-1,northeuralex-olo,UPPERLEGTHIGH,reizi,rɛizi,r ɛi z i,,,,,,
northeuralex-olo-LEG-1,northeuralex-olo-38_leg-1,northeuralex-olo,LEG,jalgu,jɑlɡʊ,j ɑ l g ʊ,,,,,,
northeuralex-olo-BODY-1,northeuralex-olo-39_body-1,northeuralex-olo,BODY,rungu,rʊŋːʊ,r ʊ ŋː ʊ,,,,,,
northeuralex-olo-SKIN-1,northeuralex-olo-40_skin-1,northeuralex-olo,SKIN,hibju,hibjʊ,h i b j ʊ,,,,,,
northeuralex-olo-VEIN-1,northeuralex-olo-42_vein-1,northeuralex-olo,VEIN,suoni,sʊɔni,s ʊ ɔ n i,,,,,,
northeuralex-olo-VEIN-2,northeuralex-olo-42_vein-2,northeuralex-olo,VEIN,verisuoni,vɛrisʊɔni,v ɛ r i s ʊ ɔ n i,,,,,,
northeuralex-olo-TENDON-1,northeuralex-olo-43_sinew-1,northeuralex-olo,TENDON,nivel,nivɛl,n i v ɛ l,,,,,,
